"title","text","modified","created","color","tags","type"
"!CatcheKäPlay!","A newly-founded company based out of [[🌱 Druxe]] that sells access tokens to its ""[[Sparce|⚫ The Sparce]]-wide cache game"". Its caches are hidden in many public places on [[Bhava]] and [[Soetanto]] [[🌍 planes]]. Each cache leads to the next (with a monetary price each time of course), eventually leading back to [[🌱 Druxe]].

The inter-planar event has been widely criticized for its manipulative tendencies, and is currently under investigation by a [[Planar Convoke|The Planar Convoke]] tribunal. Furthermore, the developers of the game are known to have been in collaboration with [[The Sodality of Miasma]] prior to their involvement. This factor is one of the major legal focuses by the tribunal.","20230421172257149","20230421170738811","","[[🏢 companies]] [[Hīkoi Period]] [[🌱 Druxe]]","text/x-markdown"
"⏳ Krom","## **Plane of:** Time
## **Primary lifeforms:** Kromacvin

---

The labyrinthine and cathedralic halls of the cities of Krom are vast and majestic. Cultivated and mastered over thousands of years of work, they stands in stark comparison with the rest of the plane. Outside of its city walls, the world stretches on infinitely in every direction, covered in a blanket of dust and low lifeless hills. All vegetation and native life (save for the [[Kromacvin]]) appears to have withered and died long, long ago.

---

*Howling winds scatter and pick up dust as they rush along the flat stone ground of the wastes. Flat horizon meets flat sky as far as the eye can see, save for a few solitary clusters of columns rising into air along the landscape. Without a proper atmosphere above, the myriad of stars seem to stare down upon you.*","20230502223344935","20211226163027450","#ffffff","[[🌍 planes]] Zopilote","text/x-markdown"
"☁️ Fomrh","## **Plane of:** The Sky
## **Primary lifeforms:** Celestials

---

A gaseous spherical orb, floating aimlessly in [[🌌 The Flow]]. While some speculate that the plane does in fact have a solid central core, the theory has never been proven. The Cities, towns, and paths of the world all float in the air, held aloft by strong gusts of hot air. Thousands of temples, shrines, and graves hang in its atmosphere, and a continual reverence hangs about the plane.

---

*A thin, perpetual ringing sound wafts in from all around. Clouds of all shapes and sizes float above and below, and one can see small clusters of houses and shrines popping up through the vapours. Bridges between them sway in the breeze, and birds can be seen circling overhead.*","20230502223353903","20211226163222851","#ffffff","[[🌍 planes]] Zopilote","text/x-markdown"
"☄️ blast","","20230502223401543","20220111192417543","#000000","[[🔫 ship weapons]]","text/x-markdown"
"⚓ freight","[[🚀 starships]] similar to the [[🪝 harvest]] class, but instead focus on intra-[[plane|🌍 planes]] commerce. Often not weaponized, but may have entourages of [[⚔️ fight]] class ships.

---

## **Lightweight**
### <<list-links '[tag[⚓ freight]tag[Lightweight]]'>>

## **Midweight**
### <<list-links '[tag[⚓ freight]tag[Midweight]]'>>

## **Heavyweight**
### <<list-links '[tag[⚓ freight]tag[Heavyweight]]'>>

---

*Players' note: Freight starships have a HP modifier of +50, an AC of 16, and a Passive Perception of 11.*","20230504190602439","20211228024246776","#323232","[[🎛️ ship classes]]","text/x-markdown"
"⚔️ fight","[[🚀 starships]] made for inter-ship combat in the void of [[⚫ The Sparce]]. Arms range from cannons, to lasers, to custom weapons. Incredibly dangerous and totally unregulated.

---

## **Lightweight**
### <<list-links '[tag[⚔️ fight]tag[Lightweight]]'>>

## **Midweight**
### <<list-links '[tag[⚔️ fight]tag[Midweight]]'>>

## **Heavyweight**
### <<list-links '[tag[⚔️ fight]tag[Heavyweight]]'>>

---

*Players' note: Fight starships have a HP modifier of -50, an AC of 18, and a Passive Perception of 14.*","20230502223744286","20211228024224064","#323232","[[🎛️ ship classes]]","text/x-markdown"
"⚖️ Balx","## **Plane of:** Elements
## **Primary lifeforms:** Primordials

---

An oddity of planes, Balx is a confluence of four [[planar|🌍 planes]] discs, each in constant war with the other. They float in [[🌌 The Flow]], attracted by each other's gravitational pull, and often crash into each other. When they do, violent conflict breaks out before the discs separate again. Each demi-plane's society is organized according to a [[Format|The Balx Formats]]; a cultural tradition and godly legacy. No one knows the original reason for the constant conflict, but few have investigated long enough to deduce it. The plane is nearly entirely closed off, its [[pestle|🚪 pestles]] long unattended.","20230502223419076","20211226163156066","#ffffff","[[🌍 planes]] Atolondrar","text/x-markdown"
"⚙️ starship technology","","20230502223429665","20211226231643571","#9600fa","","text/x-markdown"
"⚫ The Sparce","The (seemingly) empty void between the 9 planes of [[🌐 The Pantry]]. Home to abyssal monsters, [[🪨 Remora]] production, and smuggler [[🚀 starships]]. An impossibly unregulated and uncontrollable space, breached only by planar ex-patriots, criminals, military, and dark secrets. Through it all meanders [[🌌 The Flow]], the innate and possibly arcane pathways of magic and happenstance.

The Sparce has no air for planar beings to breathe, and this can only be traversed by starship, or with [[portable magic air|Flowstones]] source. Most starships have air sources on board.

*Players' note: In the event you begin to suffocate in The Sparce, the PHB suffocation rules apply:*

*“A creature can hold its breath for a number of minutes equal to 1 + it’s Constitution modifier (minimum of 30 seconds). When a creature runs out of breath, it can survive for a number of rounds equal to its Constitution modifier (minimum 1 round). At the start of its next turn, it drops to 0 hit points and is dying.”*

---

[img[images/pantry_map.png]]","20230502223440890","20211226154157878","#fa9600","[[🌐 The Pantry]]","text/x-markdown"
"⛪ religions","","20230502225621042","20220603150732530","#fa9600","[[👤 people]]","text/x-markdown"
"⛰️ Yadri","## **Plane of:** Geography
## **Primary lifeforms:** Giants

---

Perhaps the most curious and paradoxical plane of all, Yadri is nearly impossible to visit. The [[plane|🌍 planes]] exists in a demi-space, super-imposed in patches throughout [[🌐 The Pantry]]. It is accessible only by its [[pestle|🚪 pestles]] or by accident. Many strange disappearances are often attributed to someone having ""stepped into Yadri"". The plane itself is a massive cluster of gigantic mountains, spanning seas, rolling valleys, and fathomless chasms. Giants of all race and size roam its lands, and occasionally themselves stumble onto other planes.","20230502223510000","20211226163101561","#ffffff","[[🌍 planes]] Atolondrar","text/x-markdown"
"❔ session ideas","","20230502223518683","20220116182530874","#9600fa","[[🔒 private]]","text/x-markdown"
"❗ featured articles","","20230502225523824","20220520195527128","#9600fa","","text/x-markdown"
"❤️ Yeima","## **Plane of:** Emotions
## **Primary lifeforms:** Demons

---

A spinning top of a world, Yeima geography is dotted with stony crags, vast fields, and deep caves. The temperature is unnaturally warm, though not for the Emotion [[Demons]] that live there. The plane is disc-shaped, with one large and exponentially tall spire at its centre. All roads on the world lead to the spire.

---

*Squat clusters of cities dot the rim of disc, between which high-speed trains flow. Rugged patches of stony cliffs and thin plains become less and less common as your eyes follow the curvature of the central spire. Brilliant towers and vertical cities cluster ever closer and taller leading up to its tip.*","20230502223535108","20211226163134970","#ffffff","[[🌍 planes]] Soetanto","text/x-markdown"
"⭕ outer ring","","20230502225323612","20220512145842334","#329664","[[📍 locations]] [[⚫ The Sparce]]","text/x-markdown"
"🌌 The Flow","The shifting tides and currents when permeate [[⚫ The Sparce]]. Invisible to the untrained eye, but the leylines and flowing routes for many natural phenomenon:
- Animal migratory routes
- Magical hotspots
- Void storms
- Asteroid belts and star nurseries
- Pocket dimensions
- [[🪨 Remora]] fields

Due to their natural importance, these currents also became important to non-natural factors (one way or another):
- Trade routes
- Swift [[starship|🚀 starships]] passage
- Settlements

---

*The glittering bands and winding channels of The Flow extend out beyond you. It curves gently, as if blown or pulled by some gentle lapping force. In its ""waters"" flow thousands of tiny shining Remora crystals and small Sparce fish.*","20230502223549769","20211226152038831","#fa9600","[[⚫ The Sparce]] [[🌐 The Pantry]] [[❗ featured articles]] [[📍 locations]]","text/x-markdown"
"🌍 planes","Though planes in [[🌐 The Pantry]] exist as separate places, their diversity is great. Each represents a separate aspect of existence, and are home to their respective [[😇 gods]] and [[🧑 races]]. Most planes are governed by (mostly) democratically-elected councils of ~4-8 members.

All planes are connected to [[The Mortar]] by [[🚪 pestles]], but each in different ways, and by different amounts. The only other way to access them is with [[🚀 starships]], though this can at times prove quite difficult and even dangerous.

Generally speaking, the 8 major planes are encircled around The Mortar in clusters of two in the following clockwise order: Druxe and Aaliat, Reht and Yeima, Krom and Fomrh, Balx and Yadri. Each pair is a member of one of the [[🗺️ provinces]].

---

[img[images/pantry_map.png]]","20230502225433952","20211226161934283","#fa9600","[[⚫ The Sparce]] [[🌐 The Pantry]] [[❗ featured articles]]","text/x-markdown"
"🌐 The Pantry","The known universe, which encompasses all 9 [[🌍 planes]] and [[⚫ The Sparce]] that flows between them. A far-flung, multicultural cosmos with a rich hidden history, overwhelming godly presence, and strong sense of mysticism.

---

[img[images/pantry_map.png]]","20230502223625601","20211226153809973","#9600fa","","text/x-markdown"
"🌑 demi planes","## **[[🐐 Aaliat]] demi planes**
### <<list-links '[tag[🌑 demi planes]tag[🐐 Aaliat]]'>>

## **[[⚖️ Balx]] demi planes**
### <<list-links '[tag[🌑 demi planes]tag[⚖️ Balx]]'>>

## **Other demi planes**
### <<list-links '[tag[🌑 demi planes]!tag[🐐 Aaliat]!tag[⚖️ Balx]]'>>","20230605005310030","20220915005148173","#329664","[[⚫ The Sparce]] [[🌍 planes]]","text/x-markdown"
"🌱 Druxe","## **Plane of:** Flora
## **Primary lifeforms:** Florafolk

---

A spherical world populated almost entirely by lush forest, jungle, or low vegetation. Seemingly without animal life, the plane is in fact teeming with sentience, the highest order of which are [[Florafolk]]. While extremely tolerant to visitors, many who arrive on the plane soon find themselves host to a plethora of parasitic fungi, root growths, or flowing buds.

---

*The first thing to strike you is the stillness of the ambient sound. The rustling of endless treetops carries on up to and beyond the horizon. All about dot the rising cylindrical structures of the leisure houses, formed from warped tree wood, and dotted with vines and flowers. Paths meander off here and there into the undergrowth, leading to bath pools, quiet esplanades, and meditation gardens.*","20230502223642416","20211226162711809","#ffffff","[[🌍 planes]] Bhava","text/x-markdown"
"🎛️ ship classes","","20230502223706132","20211228024201794","#fa9600","[[⚙️ starship technology]]","text/x-markdown"
